symbol,entrez_id,average_score,combined_score,num_screens_hit
CRTC3,64784,156.044,0.5674327272727273,1
WRN,7486,130.36033333333333,1.4221127272727274,3
TIMM17A,10440,102.289,0.74392,2
GART,2618,98.04962499999999,2.852352727272727,8
TRIM8,81603,90.84,0.33032727272727275,1
TTC9C,283237,90.096,0.3276218181818182,1
BCAS4,55653,69.008,0.2509381818181818,1
CTNNB1,1499,56.367333333333335,0.6149163636363637,3
HABP2,3026,54.952,0.19982545454545453,1
HOXC13,3229,54.7865,0.3984472727272727,2
INO80C,125476,53.795,0.19561818181818183,1
NBPF15,284565,53.531499999999994,0.38931999999999994,2
TPK1,27010,53.150999999999996,0.38655272727272727,2
MPV17L2,84769,53.073283333335,0.38598751515152724,2
GAL3ST3,89792,52.634,0.19139636363636364,1
OMP,4975,52.142,0.18960727272727274,1
GOLGA6L1,283767,51.7315,0.3762290909090909,2
PARG,8505,51.3775,0.37365454545454546,2
NPIPB6,728741,51.158500000000004,0.3720618181818182,2
ZPBP2,124626,50.536,0.18376727272727272,1
NPIPB5,100132247,49.977500000000006,0.36347272727272734,2
BLMH,642,47.289,0.17196,1
RIPOR3,140876,46.895,0.17052727272727275,1
SLC35C1,55343,46.7995,0.34036,2
WIF1,11197,46.389,0.16868727272727274,1
SLF2,55719,45.405,0.3302181818181818,2
SEC23B,10483,45.167,0.16424363636363637,1
SLC16A13,201232,45.02,0.16370909090909092,1
ERBB2,2064,44.793,0.16288363636363637,1
PRPS2,5634,43.862,0.15949818181818182,1
IKZF3,22806,43.735,0.15903636363636364,1
EXO1,9156,42.352000000000004,0.3080145454545455,2
CCNF,899,41.726,0.4551927272727273,3
SPATA2,9825,41.681,0.15156727272727272,1
ARFGAP2,84364,40.767,0.14824363636363638,1
FH,2271,40.526625,1.1789563636363638,8
SLC7A1,6541,40.256074536839996,0.29277145117701814,2
ALDH18A1,5832,40.047166666666,0.7281303030302909,5
CREBZF,58487,39.958,0.14530181818181817,1
SLC15A3,51296,39.727,0.14446181818181816,1
GTPBP6,8225,39.709,0.2887927272727273,2
TRERF1,55809,39.497,0.14362545454545456,1
PCBP4,57060,39.305,0.14292727272727274,1
GLCE,26035,39.148,0.14235636363636364,1
GALR3,8484,39.093,0.14215636363636364,1
RBM38,55544,39.03,0.14192727272727274,1
ZFPL1,7542,38.529,0.14010545454545456,1
CARHSP1,23589,38.3505,0.27891272727272726,2
EPG5,57724,38.321,0.1393490909090909,1
UBIAD1,29914,37.567,0.13660727272727272,1
KMT2C,58508,37.452,0.1361890909090909,1
ATP6V1B1,525,37.445,0.13616363636363638,1
SRA1,10011,36.541,0.13287636363636363,1
OGFR,11054,36.388600000000004,0.2646443636363637,2
UQCC1,55245,35.9875,0.2617272727272727,2
EXD1,161829,35.971,0.13080363636363634,1
POU5F1,5460,34.96,0.25425454545454546,2
PRSS35,167681,34.588,0.12577454545454544,1
RBPJL,11317,34.495,0.12543636363636362,1
GOLGA6D,653643,33.8995,0.2465418181818182,2
AGAP4,119016,33.3165,0.24230181818181817,2
CAT,847,33.301,0.12109454545454545,1
MTF2,22823,33.029,0.12010545454545456,1
PIGU,128869,32.99666666666666,0.3599636363636364,3
DAZAP2,9802,32.839,0.11941454545454545,1
IKZF4,64375,32.811,0.11931272727272728,1
LINS1,55180,32.671,0.11880363636363636,1
KRT26,353288,32.363,0.11768363636363637,1
LRRC26,389816,32.236,0.11722181818181818,1
SLC25A51,92014,32.175,0.23399999999999999,2
PTP4A1,7803,32.023,0.11644727272727273,1
FBXO28,23219,31.9,0.11599999999999999,1
MIF,4282,31.66,0.11512727272727273,1
FUBP3,8939,31.434,0.11430545454545454,1
PDZD11,51248,30.59,0.11123636363636363,1
FAM58A,92002,30.1035,0.21893454545454547,2
NMNAT1,64802,29.8578916666575,0.43429660606047277,4
REM1,28954,29.799,0.10836,1
AKIP1,56672,29.248,0.10635636363636364,1
FAM25A,643161,29.238500000000002,0.21264363636363637,2
RFX5,5993,28.948,0.10526545454545455,1
SLC25A25,114789,28.824,0.10481454545454547,1
FAIM,55179,28.781,0.10465818181818182,1
